Nomor per tahun,Kode Prov,Nama Provinsi,Kode Kab/Kota,Nama Kabupaten,Tipe,Tahun,IKP,PERINGKAT KAB/KOTA,KELOMPOK IKP
1,11,Aceh,1109,Simeulue,Kabupaten,2024,77.54,292,6
2,11,Aceh,1110,Aceh Singkil,Kabupaten,2024,46.10,487,2
3,11,Aceh,1101,Aceh Selatan,Kabupaten,2024,73.84,353,5
4,11,Aceh,1102,Aceh Tenggara,Kabupaten,2024,76.87,306,6
5,11,Aceh,1103,Aceh Timur,Kabupaten,2024,77.19,296,6
6,11,Aceh,1104,Aceh Tengah,Kabupaten,2024,69.08,401,5
7,11,Aceh,1105,Aceh Barat,Kabupaten,2024,78.27,281,6
8,11,Aceh,1106,Aceh Besar,Kabupaten,2024,84.72,127,6
9,11,Aceh,1107,Pidie,Kabupaten,2024,76.69,309,6
10,11,Aceh,1111,Bireuen,Kabupaten,2024,80.83,214,6
11,11,Aceh,1108,Aceh Utara,Kabupaten,2024,77.12,299,6
12,11,Aceh,1112,Aceh Barat Daya,Kabupaten,2024,78.05,285,6
13,11,Aceh,1113,Gayo Lues,Kabupaten,2024,77.06,301,6
14,11,Aceh,1116,Aceh Tamiang,Kabupaten,2024,81.16,206,6
15,11,Aceh,1115,Nagan Raya,Kabupaten,2024,76.60,313,6
16,11,Aceh,1114,Aceh Jaya,Kabupaten,2024,79.69,243,6
17,11,Aceh,1117,Bener Meriah,Kabupaten,2024,46.98,485,2
18,11,Aceh,1118,Pidie Jaya,Kabupaten,2024,78.95,261,6
19,12,Sumatera Utara,1204,Nias,Kabupaten,2024,72.41,373,5
20,12,Sumatera Utara,1213,Mandailing Natal,Kabupaten,2024,70.54,392,5
21,12,Sumatera Utara,1203,Tapanuli Selatan,Kabupaten,2024,77.29,294,6
22,12,Sumatera Utara,1201,Tapanuli Tengah,Kabupaten,2024,73.81,354,5
23,12,Sumatera Utara,1202,Tapanuli Utara,Kabupaten,2024,78.14,283,6
24,12,Sumatera Utara,1212,Toba Samosir,Kabupaten,2024,84.33,136,6
25,12,Sumatera Utara,1210,Labuhan Batu,Kabupaten,2024,76.96,303,6
26,12,Sumatera Utara,1209,Asahan,Kabupaten,2024,76.65,311,6
27,12,Sumatera Utara,1208,Simalungun,Kabupaten,2024,82.42,177,6
28,12,Sumatera Utara,1211,Dairi,Kabupaten,2024,82.50,175,6
29,12,Sumatera Utara,1206,Karo,Kabupaten,2024,82.28,179,6
30,12,Sumatera Utara,1207,Deli Serdang,Kabupaten,2024,86.20,94,6
31,12,Sumatera Utara,1205,Langkat,Kabupaten,2024,79.92,240,6
32,12,Sumatera Utara,1214,Nias Selatan,Kabupaten,2024,65.87,421,4
33,12,Sumatera Utara,1216,Humbang Hasundutan,Kabupaten,2024,81.16,207,6
34,12,Sumatera Utara,1215,Pakpak Bharat,Kabupaten,2024,75.32,334,5
35,12,Sumatera Utara,1217,Samosir,Kabupaten,2024,80.35,223,6
36,12,Sumatera Utara,1218,Serdang Bedagai,Kabupaten,2024,85.35,114,6
37,12,Sumatera Utara,1219,Batu Bara,Kabupaten,2024,78.37,277,6
38,12,Sumatera Utara,1220,Padang Lawas Utara,Kabupaten,2024,75.14,338,5
39,12,Sumatera Utara,1221,Padang Lawas,Kabupaten,2024,76.75,308,6
40,12,Sumatera Utara,1222,Labuhan Batu Selatan,Kabupaten,2024,57.85,457,3
