No,Tahun,Kode_Wilayah,Provinsi,Kabupaten_Kota,Kelompok_Bahan_Pangan,Konsumsi_Pangan
12465,2024,1105,Aceh,Aceh Barat,Buah/Biji Berminyak,3.62
12473,2024,1105,Aceh,Aceh Barat,Gula,5.58
12468,2024,1105,Aceh,Aceh Barat,Kacang-kacangan,6.42
12461,2024,1105,Aceh,Aceh Barat,Minyak dan Lemak,10.68
12445,2024,1105,Aceh,Aceh Barat,Padi-Padian,114.29
12455,2024,1105,Aceh,Aceh Barat,Pangan Hewani,56.09
12476,2024,1105,Aceh,Aceh Barat,Sayur dan Buah,81.85
12449,2024,1105,Aceh,Aceh Barat,Umbi-umbian,9.35
12635,2024,1112,Aceh,Aceh Barat Daya,Buah/Biji Berminyak,3.95
12643,2024,1112,Aceh,Aceh Barat Daya,Gula,6.53
12638,2024,1112,Aceh,Aceh Barat Daya,Kacang-kacangan,5.31
12631,2024,1112,Aceh,Aceh Barat Daya,Minyak dan Lemak,10.46
12615,2024,1112,Aceh,Aceh Barat Daya,Padi-Padian,120.36
12625,2024,1112,Aceh,Aceh Barat Daya,Pangan Hewani,52.99
12646,2024,1112,Aceh,Aceh Barat Daya,Sayur dan Buah,64.39
12619,2024,1112,Aceh,Aceh Barat Daya,Umbi-umbian,7.36
12499,2024,1106,Aceh,Aceh Besar,Buah/Biji Berminyak,3.28
12507,2024,1106,Aceh,Aceh Besar,Gula,5.88
12502,2024,1106,Aceh,Aceh Besar,Kacang-kacangan,5.64
12495,2024,1106,Aceh,Aceh Besar,Minyak dan Lemak,8.6
12479,2024,1106,Aceh,Aceh Besar,Padi-Padian,105.87
12489,2024,1106,Aceh,Aceh Besar,Pangan Hewani,54.4
12510,2024,1106,Aceh,Aceh Besar,Sayur dan Buah,63.03
12483,2024,1106,Aceh,Aceh Besar,Umbi-umbian,9.92
12771,2024,1114,Aceh,Aceh Jaya,Buah/Biji Berminyak,3.85
12779,2024,1114,Aceh,Aceh Jaya,Gula,7.82
12774,2024,1114,Aceh,Aceh Jaya,Kacang-kacangan,5.59
12767,2024,1114,Aceh,Aceh Jaya,Minyak dan Lemak,10.2
12751,2024,1114,Aceh,Aceh Jaya,Padi-Padian,131
12761,2024,1114,Aceh,Aceh Jaya,Pangan Hewani,57.57
12782,2024,1114,Aceh,Aceh Jaya,Sayur dan Buah,77.26
12755,2024,1114,Aceh,Aceh Jaya,Umbi-umbian,9.63
12329,2024,1101,Aceh,Aceh Selatan,Buah/Biji Berminyak,6.17
12337,2024,1101,Aceh,Aceh Selatan,Gula,6.29
12332,2024,1101,Aceh,Aceh Selatan,Kacang-kacangan,4.46
12325,2024,1101,Aceh,Aceh Selatan,Minyak dan Lemak,12.2
12309,2024,1101,Aceh,Aceh Selatan,Padi-Padian,113.96
12319,2024,1101,Aceh,Aceh Selatan,Pangan Hewani,51.63
12340,2024,1101,Aceh,Aceh Selatan,Sayur dan Buah,70.23
12313,2024,1101,Aceh,Aceh Selatan,Umbi-umbian,8.57
12295,2024,1110,Aceh,Aceh Singkil,Buah/Biji Berminyak,3.93
12303,2024,1110,Aceh,Aceh Singkil,Gula,8.59
12298,2024,1110,Aceh,Aceh Singkil,Kacang-kacangan,5.37
12291,2024,1110,Aceh,Aceh Singkil,Minyak dan Lemak,12.47
12275,2024,1110,Aceh,Aceh Singkil,Padi-Padian,111.39
12285,2024,1110,Aceh,Aceh Singkil,Pangan Hewani,56.59
12306,2024,1110,Aceh,Aceh Singkil,Sayur dan Buah,85.49
12279,2024,1110,Aceh,Aceh Singkil,Umbi-umbian,13.28
12703,2024,1116,Aceh,Aceh Tamiang,Buah/Biji Berminyak,2.15
12711,2024,1116,Aceh,Aceh Tamiang,Gula,8.94
12706,2024,1116,Aceh,Aceh Tamiang,Kacang-kacangan,6.75
12699,2024,1116,Aceh,Aceh Tamiang,Minyak dan Lemak,11.17
12683,2024,1116,Aceh,Aceh Tamiang,Padi-Padian,96.62
12693,2024,1116,Aceh,Aceh Tamiang,Pangan Hewani,53.82
12714,2024,1116,Aceh,Aceh Tamiang,Sayur dan Buah,73.03
12687,2024,1116,Aceh,Aceh Tamiang,Umbi-umbian,10.06
12431,2024,1104,Aceh,Aceh Tengah,Buah/Biji Berminyak,1.14
12439,2024,1104,Aceh,Aceh Tengah,Gula,8.24
12434,2024,1104,Aceh,Aceh Tengah,Kacang-kacangan,9.13
12427,2024,1104,Aceh,Aceh Tengah,Minyak dan Lemak,11.78
12411,2024,1104,Aceh,Aceh Tengah,Padi-Padian,118.52
12421,2024,1104,Aceh,Aceh Tengah,Pangan Hewani,43.48
12442,2024,1104,Aceh,Aceh Tengah,Sayur dan Buah,108
12415,2024,1104,Aceh,Aceh Tengah,Umbi-umbian,16.15
12363,2024,1102,Aceh,Aceh Tenggara,Buah/Biji Berminyak,5.45
12371,2024,1102,Aceh,Aceh Tenggara,Gula,3.5
12366,2024,1102,Aceh,Aceh Tenggara,Kacang-kacangan,6.48
12359,2024,1102,Aceh,Aceh Tenggara,Minyak dan Lemak,11.37
12343,2024,1102,Aceh,Aceh Tenggara,Padi-Padian,112.86
12353,2024,1102,Aceh,Aceh Tenggara,Pangan Hewani,49.52
12374,2024,1102,Aceh,Aceh Tenggara,Sayur dan Buah,71.61
12347,2024,1102,Aceh,Aceh Tenggara,Umbi-umbian,8.03
12397,2024,1103,Aceh,Aceh Timur,Buah/Biji Berminyak,3.12
12405,2024,1103,Aceh,Aceh Timur,Gula,6.89
12400,2024,1103,Aceh,Aceh Timur,Kacang-kacangan,5.84
12393,2024,1103,Aceh,Aceh Timur,Minyak dan Lemak,8.35
12377,2024,1103,Aceh,Aceh Timur,Padi-Padian,108.61
12387,2024,1103,Aceh,Aceh Timur,Pangan Hewani,52.3
12408,2024,1103,Aceh,Aceh Timur,Sayur dan Buah,65.99
12381,2024,1103,Aceh,Aceh Timur,Umbi-umbian,9
12601,2024,1108,Aceh,Aceh Utara,Buah/Biji Berminyak,3.64
12609,2024,1108,Aceh,Aceh Utara,Gula,6.08
12604,2024,1108,Aceh,Aceh Utara,Kacang-kacangan,3.97
12597,2024,1108,Aceh,Aceh Utara,Minyak dan Lemak,8.43
12581,2024,1108,Aceh,Aceh Utara,Padi-Padian,94.02
12591,2024,1108,Aceh,Aceh Utara,Pangan Hewani,46.59
12612,2024,1108,Aceh,Aceh Utara,Sayur dan Buah,60.02
12585,2024,1108,Aceh,Aceh Utara,Umbi-umbian,7.64
14369,2024,1306,Sumatera Barat,Agam,Buah/Biji Berminyak,3.62
14377,2024,1306,Sumatera Barat,Agam,Gula,5.69
14372,2024,1306,Sumatera Barat,Agam,Kacang-kacangan,6.54
14365,2024,1306,Sumatera Barat,Agam,Minyak dan Lemak,11.03
14349,2024,1306,Sumatera Barat,Agam,Padi-Padian,101.82
14359,2024,1306,Sumatera Barat,Agam,Pangan Hewani,41.15
14380,2024,1306,Sumatera Barat,Agam,Sayur dan Buah,65.71
14353,2024,1306,Sumatera Barat,Agam,Umbi-umbian,14.42
6821,2024,5305,Nusa Tenggara Timur,Alor,Buah/Biji Berminyak,0.5
6829,2024,5305,Nusa Tenggara Timur,Alor,Gula,5.37
6824,2024,5305,Nusa Tenggara Timur,Alor,Kacang-kacangan,3.19
6817,2024,5305,Nusa Tenggara Timur,Alor,Minyak dan Lemak,6.7
6801,2024,5305,Nusa Tenggara Timur,Alor,Padi-Padian,106.6
6811,2024,5305,Nusa Tenggara Timur,Alor,Pangan Hewani,36.32
6832,2024,5305,Nusa Tenggara Timur,Alor,Sayur dan Buah,88.02
6805,2024,5305,Nusa Tenggara Timur,Alor,Umbi-umbian,18.23
13281,2024,1209,Sumatera Utara,Asahan,Buah/Biji Berminyak,3.54
13289,2024,1209,Sumatera Utara,Asahan,Gula,7.87
13284,2024,1209,Sumatera Utara,Asahan,Kacang-kacangan,7.16
13277,2024,1209,Sumatera Utara,Asahan,Minyak dan Lemak,11
13261,2024,1209,Sumatera Utara,Asahan,Padi-Padian,102.03
13271,2024,1209,Sumatera Utara,Asahan,Pangan Hewani,56.91
13292,2024,1209,Sumatera Utara,Asahan,Sayur dan Buah,81.39
13265,2024,1209,Sumatera Utara,Asahan,Umbi-umbian,14.42
11649,2024,9118,Papua Selatan,Asmat,Buah/Biji Berminyak,0.14
11657,2024,9118,Papua Selatan,Asmat,Gula,6.04
11652,2024,9118,Papua Selatan,Asmat,Kacang-kacangan,2.49
11645,2024,9118,Papua Selatan,Asmat,Minyak dan Lemak,7.97
11629,2024,9118,Papua Selatan,Asmat,Padi-Padian,54.8
11639,2024,9118,Papua Selatan,Asmat,Pangan Hewani,49.34
11660,2024,9118,Papua Selatan,Asmat,Sayur dan Buah,52.19
11633,2024,9118,Papua Selatan,Asmat,Umbi-umbian,59.7
4135,2024,5103,Bali,Badung,Buah/Biji Berminyak,0.39
4143,2024,5103,Bali,Badung,Gula,4.1
4138,2024,5103,Bali,Badung,Kacang-kacangan,9.08
4131,2024,5103,Bali,Badung,Minyak dan Lemak,8.31
4115,2024,5103,Bali,Badung,Padi-Padian,137.21
4125,2024,5103,Bali,Badung,Pangan Hewani,53.65
4146,2024,5103,Bali,Badung,Sayur dan Buah,99.63
4119,2024,5103,Bali,Badung,Umbi-umbian,13.92
5665,2024,6311,Kalimantan Selatan,Balangan,Buah/Biji Berminyak,0.55
5673,2024,6311,Kalimantan Selatan,Balangan,Gula,9.4
5668,2024,6311,Kalimantan Selatan,Balangan,Kacang-kacangan,6.53
5661,2024,6311,Kalimantan Selatan,Balangan,Minyak dan Lemak,10.24
5645,2024,6311,Kalimantan Selatan,Balangan,Padi-Padian,116.09
5655,2024,6311,Kalimantan Selatan,Balangan,Pangan Hewani,53.29
5676,2024,6311,Kalimantan Selatan,Balangan,Sayur dan Buah,121.1
5649,2024,6311,Kalimantan Selatan,Balangan,Umbi-umbian,8.47
327,2024,3204,Jawa Barat,Bandung Ka,Buah/Biji Berminyak,0.27
335,2024,3204,Jawa Barat,Bandung Ka,Gula,3.71
330,2024,3204,Jawa Barat,Bandung Ka,Kacang-kacangan,11.01
323,2024,3204,Jawa Barat,Bandung Ka,Minyak dan Lemak,10.95
307,2024,3204,Jawa Barat,Bandung Ka,Padi-Padian,101.07
317,2024,3204,Jawa Barat,Bandung Ka,Pangan Hewani,36.1
338,2024,3204,Jawa Barat,Bandung Ka,Sayur dan Buah,69.66
311,2024,3204,Jawa Barat,Bandung Ka,Umbi-umbian,13.65
769,2024,3217,Jawa Barat,Bandung Barat,Buah/Biji Berminyak,0.18
777,2024,3217,Jawa Barat,Bandung Barat,Gula,3.58
772,2024,3217,Jawa Barat,Bandung Barat,Kacang-kacangan,10.4
765,2024,3217,Jawa Barat,Bandung Barat,Minyak dan Lemak,10.48
749,2024,3217,Jawa Barat,Bandung Barat,Padi-Padian,106.04
759,2024,3217,Jawa Barat,Bandung Barat,Pangan Hewani,36.83
780,2024,3217,Jawa Barat,Bandung Barat,Sayur dan Buah,83.76
753,2024,3217,Jawa Barat,Bandung Barat,Umbi-umbian,17.32
7909,2024,7201,Sulawesi Tengah,Banggai  ,Buah/Biji Berminyak,2.32
7917,2024,7201,Sulawesi Tengah,Banggai  ,Gula,5.7
7912,2024,7201,Sulawesi Tengah,Banggai  ,Kacang-kacangan,6.25
7905,2024,7201,Sulawesi Tengah,Banggai  ,Minyak dan Lemak,9.42
7889,2024,7201,Sulawesi Tengah,Banggai  ,Padi-Padian,116.28
7899,2024,7201,Sulawesi Tengah,Banggai  ,Pangan Hewani,57.2
7920,2024,7201,Sulawesi Tengah,Banggai  ,Sayur dan Buah,114.71
7893,2024,7201,Sulawesi Tengah,Banggai  ,Umbi-umbian,15.55
7875,2024,7207,Sulawesi Tengah,Banggai Kepulauan,Buah/Biji Berminyak,2.16
7883,2024,7207,Sulawesi Tengah,Banggai Kepulauan,Gula,10.12
7878,2024,7207,Sulawesi Tengah,Banggai Kepulauan,Kacang-kacangan,2.8
7871,2024,7207,Sulawesi Tengah,Banggai Kepulauan,Minyak dan Lemak,10.75
7855,2024,7207,Sulawesi Tengah,Banggai Kepulauan,Padi-Padian,121.81
7865,2024,7207,Sulawesi Tengah,Banggai Kepulauan,Pangan Hewani,47.84
7886,2024,7207,Sulawesi Tengah,Banggai Kepulauan,Sayur dan Buah,94.64
7859,2024,7207,Sulawesi Tengah,Banggai Kepulauan,Umbi-umbian,41.34
8215,2024,7211,Sulawesi Tengah,Banggai Laut,Buah/Biji Berminyak,1.46
8223,2024,7211,Sulawesi Tengah,Banggai Laut,Gula,8.41
8218,2024,7211,Sulawesi Tengah,Banggai Laut,Kacang-kacangan,2.33
8211,2024,7211,Sulawesi Tengah,Banggai Laut,Minyak dan Lemak,11.65
8195,2024,7211,Sulawesi Tengah,Banggai Laut,Padi-Padian,121.87
8205,2024,7211,Sulawesi Tengah,Banggai Laut,Pangan Hewani,49.36
8226,2024,7211,Sulawesi Tengah,Banggai Laut,Sayur dan Buah,90.21
8199,2024,7211,Sulawesi Tengah,Banggai Laut,Umbi-umbian,16.34
17021,2024,1901,Bangka Belitung,Bangka,Buah/Biji Berminyak,0.56
17029,2024,1901,Bangka Belitung,Bangka,Gula,5.36
17024,2024,1901,Bangka Belitung,Bangka,Kacang-kacangan,6.05
17017,2024,1901,Bangka Belitung,Bangka,Minyak dan Lemak,7.86
17001,2024,1901,Bangka Belitung,Bangka,Padi-Padian,95.49
17011,2024,1901,Bangka Belitung,Bangka,Pangan Hewani,66.27
17032,2024,1901,Bangka Belitung,Bangka,Sayur dan Buah,110.77
17005,2024,1901,Bangka Belitung,Bangka,Umbi-umbian,14.63
17089,2024,1905,Bangka Belitung,Bangka Barat,Buah/Biji Berminyak,0.4
17097,2024,1905,Bangka Belitung,Bangka Barat,Gula,6.69
17092,2024,1905,Bangka Belitung,Bangka Barat,Kacang-kacangan,5.24
17085,2024,1905,Bangka Belitung,Bangka Barat,Minyak dan Lemak,5.9
