No,Kabupaten_Kota,Provinsi,Tahun,Skor_PPH
1,Kabupaten Simeulue,Aceh,2021,57.7
2,Kabupaten Aceh Singkil,Aceh,2021,81.8
3,Kabupaten Aceh Selatan,Aceh,2021,70.7
4,Kabupaten Aceh Tenggara,Aceh,2021,75.3
5,Kabupaten Aceh Timur,Aceh,2021,69.3
6,Kabupaten Aceh Tengah,Aceh,2021,85.9
7,Kabupaten Aceh Barat,Aceh,2021,88.9
8,Kabupaten Aceh Besar,Aceh,2021,74.7
9,Kabupaten Pidie,Aceh,2021,69.2
10,Kabupaten Bireuen,Aceh,2021,80.6
11,Kabupaten Aceh Utara,Aceh,2021,65
12,Kabupaten Aceh Barat Daya,Aceh,2021,68.1
13,Kabupaten Gayo Lues,Aceh,2021,90.6
14,Kabupaten Aceh Tamiang,Aceh,2021,76.8
15,Kabupaten Nagan Raya,Aceh,2021,86.7
16,Kabupaten Aceh Jaya,Aceh,2021,80.7
17,Kabupaten Bener Meriah,Aceh,2021,82.2
18,Kabupaten Pidie Jaya,Aceh,2021,79.4
19,Kota Banda Aceh,Aceh,2021,79.5
20,Kota Sabang,Aceh,2021,79.6
21,Kota Langsa,Aceh,2021,83.2
22,Kota Lhokseumawe,Aceh,2021,81.6
23,Kota Subulussalam,Aceh,2021,74.8
24,Kabupaten Nias,Sumatera Utara,2021,76.5
25,Kabupaten Mandailing Natal,Sumatera Utara,2021,73.8
26,Kabupaten Tapanuli Selatan,Sumatera Utara,2021,79.4
27,Kabupaten Tapanuli Tengah,Sumatera Utara,2021,77.9
28,Kabupaten Tapanuli Utara,Sumatera Utara,2021,83.5
29,Kabupaten Toba Samosir,Sumatera Utara,2021,89.8
30,Kabupaten Labuhan Batu,Sumatera Utara,2021,71.3
31,Kabupaten Asahan,Sumatera Utara,2021,82.7
32,Kabupaten Simalungun,Sumatera Utara,2021,87.3
33,Kabupaten Dairi,Sumatera Utara,2021,81.1
34,Kabupaten Karo,Sumatera Utara,2021,87
35,Kabupaten Deli Serdang,Sumatera Utara,2021,88.1
